Tag Name,Device,Address Type,Address,Comment,Data Type
StatMonthAmount,MODBUS RTU (Zero-based Addressing),4x,64,amount this month PKR,32-bit Float
StatYearCompleted,MODBUS RTU (Zero-based Addressing),4x,66,completed this year,16-bit Unsigned
StatYearFailed,MODBUS RTU (Zero-based Addressing),4x,67,failed this year,16-bit Unsigned
StatYearKg,MODBUS RTU (Zero-based Addressing),4x,68,kg this year,32-bit Float
StatYearAmount,MODBUS RTU (Zero-based Addressing),4x,70,amount this year PKR,32-bit Float
AlarmCode,MODBUS RTU (Zero-based Addressing),4x,72,0 none; 1 estop; 2 nozzle; 3 cylinder; 4 scale read; 5 unstable; 6 not calibrated; 7 overfill; 8 timeout; 9 no flow,16-bit Unsigned
AlarmSeverity,MODBUS RTU (Zero-based Addressing),4x,73,0 none,1 info,2 warning,3 alarm/fault,16-bit Unsigned
ReadinessMask,MODBUS RTU (Zero-based Addressing),4x,74,bit0 estop,bit1 cyl,bit2 nozzle,bit3 stable,bit4 cal,bit5 scale ready,16-bit Unsigned
BlockerMask,MODBUS RTU (Zero-based Addressing),4x,75,bit0 fault,bit1 estop,bit2 cyl,bit3 nozzle,bit4 scale init,bit5 read,bit6 stable,bit7 cal,bit8 sim,16-bit Unsigned
ScaleInitialized,MODBUS RTU (Zero-based Addressing),4x,76,1=HX711 initialized,16-bit Unsigned
ScaleReadError,MODBUS RTU (Zero-based Addressing),4x,77,1=read error,16-bit Unsigned
CalibrationValid,MODBUS RTU (Zero-based Addressing),4x,78,1=calibration valid,16-bit Unsigned
SimulationActive,MODBUS RTU (Zero-based Addressing),4x,79,1=simulated weight active,16-bit Unsigned
AlarmSource,MODBUS RTU (Zero-based Addressing),4x,80,0 none,1 safety,2 scale,3 process,4 operator,16-bit Unsigned
ApplicationLoadPercent,MODBUS RTU (Zero-based Addressing),4x,81,main loop load estimate %,32-bit Float
LoopAvgMs,MODBUS RTU (Zero-based Addressing),4x,83,average loop ms,32-bit Float
LoopMaxMs,MODBUS RTU (Zero-based Addressing),4x,85,max loop ms,32-bit Float
HeapTotalBytes,MODBUS RTU (Zero-based Addressing),4x,87,bytes,32-bit Unsigned
HeapFreeBytes,MODBUS RTU (Zero-based Addressing),4x,89,bytes,32-bit Unsigned
HeapMinFreeBytes,MODBUS RTU (Zero-based Addressing),4x,91,bytes,32-bit Unsigned
HeapFreePercent,MODBUS RTU (Zero-based Addressing),4x,93,percent,32-bit Float
PsramTotalBytes,MODBUS RTU (Zero-based Addressing),4x,95,bytes,32-bit Unsigned
PsramFreeBytes,MODBUS RTU (Zero-based Addressing),4x,97,bytes,32-bit Unsigned
PsramFreePercent,MODBUS RTU (Zero-based Addressing),4x,99,percent,32-bit Float
FlashSizeBytes,MODBUS RTU (Zero-based Addressing),4x,101,bytes,32-bit Unsigned
SketchSizeBytes,MODBUS RTU (Zero-based Addressing),4x,103,bytes,32-bit Unsigned
FreeSketchBytes,MODBUS RTU (Zero-based Addressing),4x,105,bytes,32-bit Unsigned
ChipTemperatureC,MODBUS RTU (Zero-based Addressing),4x,107,ESP32 internal temperature C,32-bit Float
WifiRssi,MODBUS RTU (Zero-based Addressing),4x,109,dBm,16-bit Signed
WifiStatus,MODBUS RTU (Zero-based Addressing),4x,110,ESP32 WiFi status,16-bit Unsigned
MqttClientState,MODBUS RTU (Zero-based Addressing),4x,111,0 disconnected,1 connected,16-bit Signed
LastResetReason,MODBUS RTU (Zero-based Addressing),4x,112,ESP reset reason,16-bit Unsigned
FirmwareBuildMode,MODBUS RTU (Zero-based Addressing),4x,113,0 production,1 prototype,2 development,16-bit Unsigned
RtuReqCount,MODBUS RTU (Zero-based Addressing),4x,114,Modbus RTU request count,32-bit Unsigned
RtuErrCount,MODBUS RTU (Zero-based Addressing),4x,116,Modbus RTU error count,32-bit Unsigned
ControllerHeartbeat,MODBUS RTU (Zero-based Addressing),4x,118,controller heartbeat counter,32-bit Unsigned
HMI_CommandCode,MODBUS RTU (Zero-based Addressing),4x,128,write command code first; kHmiCmd_*,16-bit Unsigned
HMI_CommandSeq,MODBUS RTU (Zero-based Addressing),4x,129,increment after CommandCode,16-bit Unsigned
HMI_LastAcceptedSeq,MODBUS RTU (Zero-based Addressing),4x,130,echo of last accepted sequence,16-bit Unsigned
HMI_CommandResult,MODBUS RTU (Zero-based Addressing),4x,131,0 idle,1 accepted,2 busy,3 rejected,4 done,5 failed,16-bit Unsigned
HMI_CommandErrCode,MODBUS RTU (Zero-based Addressing),4x,132,error detail,16-bit Unsigned
HMI_CommandBusy,MODBUS RTU (Zero-based Addressing),4x,133,1=processing,16-bit Unsigned
HMI_FillMode,MODBUS RTU (Zero-based Addressing),4x,134,0=by kg,1=by amount,16-bit Unsigned
HMI_PreparedFlag,MODBUS RTU (Zero-based Addressing),4x,135,1=preset validated,16-bit Unsigned
HMI_ReadyToPrepare,MODBUS RTU (Zero-based Addressing),4x,136,1=ready for Prepare,16-bit Unsigned
HMI_ReadyToStart,MODBUS RTU (Zero-based Addressing),4x,137,1=ready for Start,16-bit Unsigned
HMI_CanTare,MODBUS RTU (Zero-based Addressing),4x,138,1=tare safe now,16-bit Unsigned
HMI_CanStop,MODBUS RTU (Zero-based Addressing),4x,139,1=fill active,16-bit Unsigned
HMI_Heartbeat,MODBUS RTU (Zero-based Addressing),4x,140,HMI writes periodically,16-bit Unsigned
HMI_WdtTimeoutSec,MODBUS RTU (Zero-based Addressing),4x,141,0 disables watchdog; default 30,16-bit Unsigned
HMI_HeartbeatAgeSec,MODBUS RTU (Zero-based Addressing),4x,142,seconds since last HMI heartbeat,16-bit Unsigned
HMI_Reserved,MODBUS RTU (Zero-based Addressing),4x,143,reserved,16-bit Unsigned
HMI_PresetTare,MODBUS RTU (Zero-based Addressing),4x,144,tare kg; write both words together (FC16),32-bit Float
HMI_PresetTargetKg,MODBUS RTU (Zero-based Addressing),4x,146,target fill kg,32-bit Float
HMI_PresetRatePerKg,MODBUS RTU (Zero-based Addressing),4x,148,PKR/kg,32-bit Float
HMI_PresetAmount,MODBUS RTU (Zero-based Addressing),4x,150,target amount PKR,32-bit Float
HMI_PresetValid,MODBUS RTU (Zero-based Addressing),4x,152,1=preset validated,16-bit Unsigned
HMI_PresetErrCode,MODBUS RTU (Zero-based Addressing),4x,153,preset error code,16-bit Unsigned
HMI_LastFillResult,MODBUS RTU (Zero-based Addressing),4x,154,last fill result,16-bit Unsigned
HMI_LastFillErrCode,MODBUS RTU (Zero-based Addressing),4x,155,last fill error code,16-bit Unsigned
